law_enforcement_agency,cause,armed
"Marion Police Department, Illinois State Police and Williamson County Sheriff's Department",Gunshot,Firearm
Navajo Police Department,Gunshot,Firearm
St Paul Police Department,Gunshot,Firearm
St Johns County Sheriff's Office,Gunshot,Firearm
Zion Police Department,Gunshot,Firearm
Sonoma County Sheriff's Office,Gunshot,Vehicle
New York Department of Corrections and Community Supervision,Death in custody,Firearm
Aurora Police Department,Gunshot,Vehicle
Glendale Police Department,Gunshot,Non-lethal firearm
Fort Worth Police Department,Gunshot,No
Phoenix Police Department,Gunshot,No
Jacksonville Sheriff's Office,Gunshot,Firearm
Oklahoma State Police,Gunshot,Non-lethal firearm
Chandler Police Department,Gunshot,No
Carrolton Police Department,Gunshot,Firearm
Maine State Troopers and Aroostook County Sheriff's Department,Gunshot,Knife
Smyrna Police Department,Gunshot,Firearm
Indianapolis Metropolitan Police Department,Gunshot,Firearm
Lyndhurst Police Department,Gunshot,Firearm
Roosevelt Police Department,Gunshot,No
Lexington County Sheriff's Office,Gunshot,No
Longview Police Department,Gunshot,Firearm
Trenton Police Department,Gunshot,No
Nocona Police Department,Gunshot,Other
Anchorage Corrections Department,Death in custody,Knife
Miami Gardens Police Department,Gunshot,Firearm
St Louis Metropolitan Police Department,Gunshot,No
"US Marshals Service, Pennsylvania State Police, Allegheny County Sheriff's Office",Gunshot,Firearm
"North Carolina Alcohol Law Enforcement, Transylvania County Sheriff's Office, Homeland Security",Gunshot,Firearm
Washington County Sheriff's Office,Gunshot,No
Prince George's County Sheriff's Office,Gunshot,Firearm
Yellowstone County Sheriff's Office,Gunshot,Firearm
Spokane Police Department,Death in custody,No
New York State Troopers,Struck by vehicle,Firearm
Boulder County Sheriff's Office,Gunshot,Firearm
California Department of Fish and Wildlife,Gunshot,Knife
Los Angeles Police Department,Gunshot,Firearm
Indianapolis Metropolitan Police Department,Gunshot,Vehicle
St Paul Police Department,Gunshot,Vehicle
Omaha Police Department,Gunshot,No
Chesapeake City Police Department,Gunshot,Firearm
Columbia Police Department and University of Missouri Police,Gunshot,Other
Salem Police Department,Gunshot,Firearm
Rockford Police Department,Gunshot,Firearm
Creek County Sheriff's Department and Bristow Police Department,Gunshot,No
Shelby County Sheriff's Department [US Marshals Service Task Force],Gunshot,Firearm
Broward Sheriff's Office,Unknown,Firearm
Stockton Police Department,Gunshot,Firearm
Chatham County Sheriff's Office,Death in custody,Other
Carroll County Sheriff's Office,Gunshot,Other
Sacramento Police Department,Gunshot,Firearm
San Francisco Police Department,Gunshot,Other
Eaton County Sheriff's Office,Gunshot,Other
Tempe Police Department,Gunshot,Firearm
Oxnard Police Department,Gunshot,No
Kentucky State Police,Gunshot,No
Boise Police Department,Gunshot,Knife
Wilmore Police Department,Gunshot,Non-lethal firearm
Enfield Police Department,Taser,Firearm
St Louis County Police Department,Gunshot,No
Springfield Police Department,Gunshot,No
Kauai Police Department,Struck by vehicle,Knife
Kern County Sheriff's Office,Taser,Firearm
Pennsylvania State Police,Gunshot,Knife
Delaware State Police,Gunshot,Firearm
Beacon Police Department,Gunshot,Firearm
Evans Police Department,Gunshot,Firearm
Cobb County Sheriff's Office,Gunshot,No
US Border Patrol,Gunshot,Firearm
Snohomish County Sheriff's Office,Gunshot,Knife
Anaheim Police Department,Gunshot,Firearm
Clark County Sheriff's Department,Death in custody,Knife
Garland Police Department,Gunshot,Vehicle
Aurora Police Department,Gunshot,No
Fairfax County Sheriff's Office,Taser,No
Evangeline Parish Sheriff's Office,Gunshot,Knife
Oklahoma Highway Patrol,Gunshot,No
Webster Police Department,Gunshot,No
Los Angeles County Sheriff's Department,Gunshot,Firearm
Des Moines Police Department,Gunshot,Firearm
Smyrna Police Department,Gunshot,Knife
Phoenix Police Department,Gunshot,No
Campbell County Sheriff's Office,Gunshot,Firearm
San Antonio Police Department,Taser,Vehicle
New Jersey State Police,Struck by vehicle,Firearm
New Orleans Police Department,Gunshot,Firearm
Pueblo Police Department,Gunshot,Firearm
Los Angeles Police Department,Gunshot,No
Stockton Police Department,Gunshot,Other
Anaheim Police Department,Gunshot,Knife
Weymouth Police Department,Gunshot,Firearm
Corona Police Department,Gunshot,No
Del Rio Police Department and Val Verde County Sheriff's Office,Gunshot,No
Vallejo Police Department,Gunshot,Firearm
Spartanburg County Sheriff's Office,Gunshot,Other
Houston Police Department,Gunshot,Firearm
San Jose Police Department,Gunshot,Firearm
Vineland Police Department,Death in custody,Firearm
Bloomington Police Department,Gunshot,Knife
Stillwater Police Department,Gunshot,Firearm
Kansas City KS Police Department,Taser,Firearm
Minneapolis Police Department,Gunshot,Other
Fort Worth Police Department,Gunshot,Firearm
Oklahoma City Police Department,Gunshot,No
Pennsylvania State Police,Gunshot,Firearm
San Antonio Police Department,Gunshot,Firearm
Rochester Police Department,Taser,Firearm
Tehachapi Police Department,Gunshot,Firearm
Jourdanton Police Department,Gunshot,Firearm
Topeka Police Department,Gunshot,Firearm
Jefferson Parish Sheriff's Office,Gunshot,Disputed
NSA Police Department,Gunshot,Firearm
Kennewick Police Department/Tri-City Swat Team,Gunshot,Firearm
Oregon State Police,Gunshot,Knife
Bakersfield Police Department (Swat),Gunshot,Firearm
Lake Jackson Police Department,Gunshot,No
Austin Police Department,Gunshot,No
Pulaski Police Department,Gunshot,No
Denham Springs Police Department,Gunshot,Firearm
Pike County Sheriff's Department,Gunshot,Vehicle
Hawthorne Police Department,Gunshot,No
California Highway Patrol,Gunshot,Knife
Monroe County Sheriff's Office,Unknown,Knife
Los Angeles Police Department,Gunshot,No
Gulfport Police Department,Gunshot,Other
Department of Veteran Affairs,Gunshot,Firearm
Shafter Police Department,Gunshot,Firearm
Freeport Police Department,Gunshot,Knife
Harvey Police Department,Gunshot,No
Laredo Police Department,Gunshot,Knife
Grapevine Police Department,Gunshot,Vehicle
Franklin County Corrections Division,Death in custody,Firearm
Kingman Police Department,Gunshot,Firearm
Los Angeles Police Department,Gunshot,Knife
North Las Vegas Police Department,Gunshot,No
"Tempe, Chandler and Mesa Police Departments [US Marshals Service Task Force]",Gunshot,Firearm
Lino Lakes Police Department,Gunshot,No
Hidalgo County Sheriff's Office,Gunshot,Firearm
Austin Police Department,Gunshot,No
San Jose Police Department,Gunshot,Firearm
Monmouth County Emergency Response Team,Gunshot,Non-lethal firearm
"Michigan State Police, Kalamazoo County Sheriff's Office and Portage Police Department",Gunshot,Firearm
Los Angeles Police Department,Gunshot,Firearm
Lawrence County Sheriff's Office,Gunshot,Other
Joliet Police Department,Gunshot,Firearm
Pinal County Sheriff's Office,Gunshot,No
Hamilton Police Department,Gunshot,Firearm
Honolulu Police Department,Taser,No
San Diego County Sheriff's Department,Gunshot,Firearm
Brooklyn Center Police Department,Taser,Firearm
Homewood Police Department,Gunshot,Firearm
CaÃ_Â±on City Police Department,Gunshot,Firearm
Riverside County Sheriff's Department,Gunshot,No
Tacoma Police Department,Gunshot,Knife
Lauderdale County Sheriff's Office,Taser,No
Wisconsin State Police,Gunshot,Firearm
Old Bridge Police Department,Gunshot,Knife
Muskogee Police Department,Gunshot,Firearm
Immigration and Customs Enforcement,Gunshot,Firearm
Mansfield Police Department,Taser,Firearm
Cecil County Sheriff's Office,Gunshot,Knife
Osage Nation Police Department,Taser,Firearm
Miami-Dade Police Department,Gunshot,Knife
St Louis County Police Department,Gunshot,Knife
Cleveland Division of Police,Gunshot,No
Wellston Police Department,Gunshot,Firearm
"Syracuse Police Department, Davis County Sheriff's Office",Gunshot,Firearm
Los Angeles County Sheriff's Department,Gunshot,Knife
US Border Patrol,Gunshot,Other
Omaha Police Department,Gunshot,Firearm
Mason County Sheriff's Office,Gunshot,Non-lethal firearm
Ruidoso Police Department,Gunshot,Firearm
Riverside County Sheriff's Department,Gunshot,Firearm
Trinidad Police Department,Gunshot,Firearm
Tuscola Police Department,Gunshot,Firearm
Madison Police Department,Gunshot,Firearm
Sulphur Springs Police Department,Taser,Knife
Pike County Sheriff's Office,Gunshot,Firearm
Oklahoma Highway Patrol and Tupelo Police Department,Gunshot,Firearm
Jefferson County Sheriff Department,Gunshot,No
Milwaukee Police Department,Gunshot,Non-lethal firearm
US Marshals Service,Gunshot,Unknown
Texas Rangers/ ATF,Gunshot,Other
Austin Police Department,Gunshot,Knife
